image,roughness,rim_edge_density,micro_holes
1.10.JPG,0.15118924933742717,,0
1.11.JPG,0.15118924933742717,,0
1.9.JPG,0.15118924933742717,,0
2.8.JPG,0.15118924933742717,,0
DSC_0111.JPG,0.15118924933742717,,0
DSC_0112.JPG,0.15118924933742717,,0
DSC_0113.JPG,0.15118924933742717,,0
DSC_0114.JPG,0.15118924933742717,,0
DSC_0115.JPG,0.15118924933742717,,0
DSC_0116.JPG,0.15118924933742717,,0
DSC_0117.JPG,0.15118924933742717,,0
DSC_0118.JPG,0.15118924933742717,,0
DSC_0119.JPG,0.15118924933742717,,0
DSC_0120.JPG,0.15118924933742717,,0
DSC_0121.JPG,0.15118924933742717,,0
DSC_0122.JPG,0.23457781809974532,0.0002666034717696546,0
DSC_0123.JPG,0.15118924933742717,,0
DSC_0124.JPG,0.15118924933742717,,0
DSC_0125.JPG,0.15118924933742717,,0
DSC_0127.JPG,0.15118924933742717,,0
DSC_0129.JPG,0.15118924933742717,,0
DSC_0133.JPG,0.15118924933742717,,0
